,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
47,SIN CENSURA....DONALD TRUMP (DOCUMENTAL COMPLETO EN ESPAÑOL) https://youtu.be/dkuygxWOkAc  vía @YouTube,2017-03-04 15:58:32,2,1,838176868931100672,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.6523}",0.0772894455838,0.0685520093561
48,Le porte-parole de Barack Obama dément que Donald Trump a été mis sur écoute http://www.lemonde.fr/donald-trump/article/2017/03/04/donald-trump-accuse-barack-obama-de-l-avoir-mis-sur-ecoute_5089358_4853715.html …,2017-03-04 15:58:30,0,0,838176861159063552,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
49,Never read donald trump fanfics (by mistake),2017-03-04 15:58:29,2,0,838176853672267776,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
50,Miss USA Credits Donald Trump for Saving Her Life http://www.truthrevolt.org/news/miss-usa-credits-donald-trump-saving-her-life#.WLtUiz7dUNc.twitter …,2017-03-04 15:58:26,1,0,838176841953345536,"{'neg': 0.132, 'neu': 0.661, 'pos': 0.207, 'compound': 0.2263}",0.0772894455838,0.0685520093561
51,The two faces of US President Donald Trump - The Listening Post (Lead) https://youtu.be/I8US-KfmokU  @YouTubeさんから,2017-03-04 15:58:24,1,0,838176835422736384,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
52,El fracaso de 'The Apprentice' no fue mi culpa: Donald Trump http://mile.io/2m5YvBa pic.twitter.com/4AxDJgUWQg,2017-03-04 15:58:23,0,0,838176829924077570,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",0.0772894455838,0.0685520093561
53,Donald Trump is peace versus Hillary and Obama representing hate & will do anything to keep monsters in power including abusing power. #FISApic.twitter.com/1cWvpk7pgq,2017-03-04 15:58:21,0,0,838176821057290241,"{'neg': 0.229, 'neu': 0.651, 'pos': 0.12, 'compound': -0.4939}",0.0772894455838,0.0685520093561
54,Religious #Extremism and Mischief of #Dajjal #AntiChrist http://pos.li/BzAn  #ISIS #ISIS #Taliban #AlShabab #Islam #DonaldTrump,2017-03-04 15:58:16,0,0,838176799871893504,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3612}",0.0772894455838,0.0685520093561
55,The Reality of #Wahhabism in #Islam http://pos.li/BDSH  #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #AlQaeda #DonaldTrump #MikePence,2017-03-04 15:58:16,0,0,838176799397986304,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
56,‘House of Cards’ creator pleads with Twitter to delete Donald Trump’s account https://ca.news.yahoo.com/house-cards-creator-pleads-twitter-212933137.html?soc_src=social-sh&soc_trk=tw … via @YahooCanada,2017-03-04 15:58:13,1,0,838176787955757056,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
