,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
54,54,54,54,54,54,54,54,54,54,54,"Donald Trump, Adam Purinton, and the Enabling of American Terrorists - The Atlantic http://ln.is/www.theatlantic.com/b5CCU …",2017-03-01 12:25:48,0,0,837036166612307969,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.6249}",0.0667826086957,0.0898
55,55,55,55,55,55,55,55,55,55,55,Hope everyone's having a great day! Minus Donald Trump and the person that stole Tom Bradys' jersey!,2017-03-01 12:25:36,4,1,837036116675002368,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.8217}",0.0667826086957,0.0898
56,56,56,56,56,56,56,56,56,56,56,"Donald Trump, Master of Low Expectations http://fb.me/19yEEtTSr ",2017-03-01 12:19:40,0,0,837034623943204869,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}",0.0667826086957,0.0898
57,57,57,57,57,57,57,57,57,57,57,"What an editorial! Donald Trump, Master of Low Expectations, via @nytimes https://www.nytimes.com/2017/03/01/opinion/donald-trump-master-of-low-expectations.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …",2017-03-01 12:12:48,0,0,837032897253150723,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.3382}",0.0667826086957,0.0898
58,58,58,58,58,58,58,58,58,58,58,Kathy Griffin: President Donald Trump Is So Embarrassing | Hardball | MSNBC https://youtu.be/HBb1794sin0  via @YouTube,2017-03-01 12:09:15,0,0,837032001328844804,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.4391}",0.0667826086957,0.0898
59,59,59,59,59,59,59,59,59,59,59,Donald Trump's Actual Policies Contradict His Joint Session Speech - The Huffington Post https://apple.news/A26TBd2CfTXum-KyU30mo0w …,2017-03-01 12:07:00,0,0,837031435689156608,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}",0.0667826086957,0.0898
60,60,60,60,60,60,60,60,60,60,60,Why Donald Trump's Address To Congress Was Exactly What America Needed To Hear http://scq.io/WY6Q3LU_  via @yesimright1,2017-03-01 12:06:28,1,0,837031303694417920,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
61,61,61,61,61,61,61,61,61,61,61,President Donald Trump Inaugural Address FULL SPEECH (C-SPAN) https://youtu.be/a-mfhjaPvsM  via @YouTube,2017-03-01 12:02:08,1,2,837030214144299012,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
62,62,62,62,62,62,62,62,62,62,62,"“My job is not to represent the world.  My job is to represent the United States of America.”

President Donald Trump",2017-03-01 11:57:59,3,0,837029169527734272,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.4215}",0.0667826086957,0.0898
63,63,63,63,63,63,63,63,63,63,63,That was not a new Donald Trump last night. It's the man his supporters voted for. #Rush #JointAddress #AmericaFirst #MAGA,2017-03-01 11:34:16,1,0,837023199015669764,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",0.0667826086957,0.0898
